movie_id,cntry,year
tt0100275,USA,2017
tt0120667,USA,2005
tt0121164,USA,2005
tt0121766,USA,2005
tt0138524,USA,2003
tt0159365,USA,2003
tt0165982,USA,2003
tt0167190,USA,2004
tt0167260,USA,2003
tt0167456,USA,2004
tt0172156,USA,2003
tt0181852,USA,2003
tt0191133,USA,2003
tt0197633,USA,2006
tt0199626,USA,2003
tt0200465,USA,2008
tt0204313,USA,2004
tt0206634,USA,2006
tt0211933,USA,2007
tt0212712,USA,2004
tt0227671,USA,2007
tt0228301,USA,2003
tt0234215,USA,2003
tt0240200,USA,2005
tt0241025,USA,2004
tt0242653,USA,2003
tt0244521,USA,2006
tt0245803,USA,2003
tt0246404,USA,2004
tt0251127,USA,2003
tt0251736,USA,2003
tt0252028,USA,2004
tt0254481,USA,2003
tt0257076,USA,2003
tt0257516,USA,2005
tt0257568,USA,2003
tt0259324,USA,2007
tt0259567,USA,2004
tt0263757,USA,2003
tt0264150,USA,2003
tt0264395,USA,2003
tt0265148,USA,2003
tt0265208,USA,2004
tt0266465,USA,2003
tt0266489,USA,2003
tt0266543,USA,2003
tt0266697,USA,2003
tt0266747,USA,2003
tt0267379,USA,2004
tt0267891,USA,2005
tt0269347,USA,2003
tt0270846,USA,2004
tt0270980,USA,2003
tt0271337,USA,2003
tt0271668,USA,2003
tt0273689,USA,2003
tt0274166,USA,2003
tt0275491,USA,2004
tt0276919,USA,2003
tt0277895,USA,2004
tt0277941,USA,2003
tt0279111,USA,2003
tt0282209,USA,2003
tt0282718,USA,2003
tt0283426,USA,2003
tt0283503,USA,2007
tt0284674,USA,2003
tt0285052,USA,2003
tt0285156,USA,2003
tt0285531,USA,2003
tt0285624,USA,2004
tt0285727,USA,2003
tt0285823,USA,2003
tt0285861,USA,2003
tt0286218,USA,2004
tt0286244,USA,2003
tt0286716,USA,2003
tt0286788,USA,2003
tt0286947,USA,2003
tt0287978,USA,2003
tt0288045,USA,2003
tt0288330,USA,2003
tt0289635,USA,2003
tt0289879,USA,2004
tt0289992,USA,2003
tt0290002,USA,2004
tt0290218,USA,2004
tt0290334,USA,2003
tt0292506,USA,2003
tt0292527,USA,2003
tt0292963,USA,2007
tt0293007,USA,2003
tt0293508,USA,2004
tt0293564,USA,2007
tt0294357,USA,2003
tt0294806,USA,2005
tt0294870,USA,2005
tt0295289,USA,2003
tt0295605,USA,2005
tt0295700,USA,2003
tt0295721,USA,2003
tt0296572,USA,2004
tt0297284,USA,2004
tt0297389,USA,2004
tt0298131,USA,2003
tt0298148,USA,2004
tt0298814,USA,2003
tt0299172,USA,2004
tt0299458,USA,2003
tt0299930,USA,2003
tt0300015,USA,2003
tt0300051,USA,2004
tt0300069,USA,2003
tt0300270,USA,2004
tt0300471,USA,2003
tt0300556,USA,2003
tt0300922,USA,2005
tt0301181,USA,2003
tt0301357,USA,2003
tt0301358,USA,2004
tt0301470,USA,2003
tt0301777,USA,2003
tt0301976,USA,2003
tt0302297,USA,2003
tt0302498,USA,2006
tt0302886,USA,2003
tt0304141,USA,2004
tt0304229,USA,2003
tt0304328,USA,2003
tt0304415,USA,2003
tt0304711,USA,2003
tt0305178,USA,2003
tt0305206,USA,2003
tt0305224,USA,2003
tt0305357,USA,2003
tt0305568,USA,2003
tt0305583,USA,2003
tt0305632,USA,2004
tt0305669,USA,2003
tt0305711,USA,2003
tt0306047,USA,2003
tt0306228,USA,2003
tt0306597,USA,2004
tt0306685,USA,2003
tt0306734,USA,2003
tt0306841,USA,2003
tt0307351,USA,2003
tt0307453,USA,2004
tt0307456,USA,2004
tt0307987,USA,2003
tt0308055,USA,2006
tt0308129,USA,2003
tt0308353,USA,2006
tt0308383,USA,2003
tt0308644,USA,2004
tt0308878,USA,2003
tt0309372,USA,2003
tt0309530,USA,2003
tt0309593,USA,2003
tt0309698,USA,2003
tt0309820,USA,2003
tt0309987,USA,2003
tt0310164,USA,2003
tt0310203,USA,2003
tt0310281,USA,2003
tt0310357,USA,2003
tt0310778,USA,2003
tt0310910,USA,2003
tt0311110,USA,2003
tt0311113,USA,2003
tt0311289,USA,2003
tt0311429,USA,2003
tt0311648,USA,2003
tt0312004,USA,2005
tt0312329,USA,2004
tt0312528,USA,2003
tt0312549,USA,2003
tt0313300,USA,2004
tt0313443,USA,2003
tt0313542,USA,2003
tt0313792,USA,2003
tt0313911,USA,2003
tt0314006,USA,2003
tt0314039,USA,2003
tt0314170,USA,2003
tt0314197,USA,2003
tt0314331,USA,2003
tt0314353,USA,2003
tt0314412,USA,2003
tt0314498,USA,2004
tt0314676,USA,2003
tt0314786,USA,2003
tt0315110,USA,2003
tt0315273,USA,2004
tt0315297,USA,2004
tt0315327,USA,2003
tt0315426,USA,2003
tt0315431,USA,2005
tt0315459,USA,2003
tt0315642,USA,2016
tt0315733,USA,2003
tt0315824,USA,2004
tt0315983,USA,2003
tt0316356,USA,2003
tt0316396,USA,2003
tt0316465,USA,2003
tt0316654,USA,2004
tt0316732,USA,2004
tt0317132,USA,2005
tt0317198,USA,2004
tt0317219,USA,2006
tt0317303,USA,2003
tt0317640,USA,2003
tt0317648,USA,2004
tt0317676,USA,2003
tt0317705,USA,2004
tt0317740,USA,2003
tt0317919,USA,2006
tt0317950,USA,2003
tt0318081,USA,2005
tt0318155,USA,2003
tt0318283,USA,2003
tt0318374,USA,2003
tt0318462,USA,2004
tt0318627,USA,2004
tt0318649,USA,2005
tt0318761,USA,2005
tt0318850,USA,2003
tt0318974,USA,2004
tt0319061,USA,2003
tt0319237,USA,2003
tt0319262,USA,2004
tt0319343,USA,2003
tt0319524,USA,2003
tt0319531,USA,2003
tt0319829,USA,2003
tt0320241,USA,2003
tt0320244,USA,2003
tt0320661,USA,2005
tt0320691,USA,2003
tt0322023,USA,2003
tt0322259,USA,2003
tt0322289,USA,2003
tt0322330,USA,2003
tt0322589,USA,2003
tt0322659,USA,2003
tt0322700,USA,2003
tt0323013,USA,2004
tt0323033,USA,2004
tt0323298,USA,2003
tt0323572,USA,2003
tt0323633,USA,2003
tt0323642,USA,2003
tt0323807,USA,2003
tt0323939,USA,2003
tt0323944,USA,2003
tt0324127,USA,2004
tt0324133,USA,2003
tt0324197,USA,2003
tt0324216,USA,2003
tt0324554,USA,2004
tt0325007,USA,2003
tt0325030,USA,2003
tt0325055,USA,2003
tt0325123,USA,2003
tt0325234,USA,2003
tt0325258,USA,2003
tt0325537,USA,2003
tt0325703,USA,2003
tt0325710,USA,2003
tt0325805,USA,2003
tt0325980,USA,2003
tt0326036,USA,2003
tt0326208,USA,2003
tt0326292,USA,2004
tt0326769,USA,2003
tt0326835,USA,2003
tt0326856,USA,2004
tt0326900,USA,2003
tt0326905,USA,2005
tt0326965,USA,2010
tt0326976,USA,2003
tt0326977,USA,2003
tt0327056,USA,2003
tt0327084,USA,2006
tt0327137,USA,2003
tt0327162,USA,2004
tt0327210,USA,2003
tt0327247,USA,2004
tt0327437,USA,2004
tt0327554,USA,2004
tt0327594,USA,2003
tt0327597,USA,2009
tt0327643,USA,2005
tt0327679,USA,2004
tt0327850,USA,2003
tt0328077,USA,2003
tt0328099,USA,2003
tt0328107,USA,2004
tt0328538,USA,2003
tt0328589,USA,2003
tt0328828,USA,2003
tt0328844,USA,2003
tt0328880,USA,2003
tt0329028,USA,2003
tt0329030,USA,2004
tt0329101,USA,2003
tt0329111,USA,2003
tt0329388,USA,2003
tt0329575,USA,2003
tt0329691,USA,2004
tt0329717,USA,2003
tt0329774,USA,2005
tt0330080,USA,2004
tt0330099,USA,2003
tt0330217,USA,2003
tt0330373,USA,2005
tt0330602,USA,2003
tt0330702,USA,2004
tt0330793,USA,2004
tt0331338,USA,2003
tt0331468,USA,2003
tt0331632,USA,2004
tt0331851,USA,2003
tt0331933,USA,2005
tt0331952,USA,2004
tt0331953,USA,2004
tt0332047,USA,2005
tt0332280,USA,2004
tt0332285,USA,2003
tt0332375,USA,2004
tt0332379,USA,2003
tt0332452,USA,2004
tt0332658,USA,2003
tt0332712,USA,2004
tt0333766,USA,2004
tt0333780,USA,2003
tt0335013,USA,2003
tt0335119,USA,2003
tt0335121,USA,2004
tt0335245,USA,2004
tt0335266,USA,2003
tt0335345,USA,2004
tt0335438,USA,2004
tt0335559,USA,2004
tt0335563,USA,2003
tt0336264,USA,2003
tt0337103,USA,2004
tt0337563,USA,2004
tt0337578,USA,2003
tt0337579,USA,2004
tt0337592,USA,2003
tt0337631,USA,2003
tt0337692,USA,2012
tt0337697,USA,2004
tt0337711,USA,2003
tt0337721,USA,2003
tt0337728,USA,2003
tt0337735,USA,2005
tt0337741,USA,2003
tt0337876,USA,2004
tt0337909,USA,2003
tt0337917,USA,2004
tt0337921,USA,2004
tt0337930,USA,2003
tt0337978,USA,2007
tt0338001,USA,2003
tt0338013,USA,2004
tt0338022,USA,2004
tt0338075,USA,2003
tt0338077,USA,2003
tt0338094,USA,2003
tt0338095,USA,2003
tt0338096,USA,2004
tt0338097,USA,2004
tt0338135,USA,2003
tt0338188,USA,2003
tt0338216,USA,2007
tt0338294,USA,2005
tt0338309,USA,2003
tt0338325,USA,2004
tt0338337,USA,2003
tt0338348,USA,2004
tt0338427,USA,2005
tt0338459,USA,2003
tt0338466,USA,2003
tt0338497,USA,2003
tt0338512,USA,2004
